5.07343, 13, 0.0809518
10.1788, 26, 0.0697937
15.294, 39, 0.0607114
20.363, 52, 0.0563649
25.0592, 64, 0.0542262
30.1376, 77, 0.0527238
35.2543, 90, 0.0515623
40.35, 103, 0.0505941
45.0631, 115, 0.0498569
50.1488, 128, 0.0493367
55.2804, 141, 0.0488746
60.0685, 153, 0.0485542
65.2378, 166, 0.0481749
70.3981, 179, 0.0477801
75.1592, 191, 0.0477388
80.2926, 204, 0.0474612
85.0179, 216, 0.0472764
90.1373, 229, 0.0471405
95.2615, 242, 0.0470627
100.395, 255, 0.0469238
105.173, 267, 0.0468434
110.308, 280, 0.0466377
115.028, 292, 0.0465946
120.181, 305, 0.0463952
125.302, 318, 0.0463047
130.026, 330, 0.0462007
135.164, 343, 0.0461461
140.311, 356, 0.0459836
145.043, 368, 0.0459755
150.195, 381, 0.0458926
155.322, 394, 0.0458216
160.039, 406, 0.0457465
165.143, 419, 0.0457441
170.272, 432, 0.045668
175.034, 444, 0.0456698
180.209, 457, 0.0456197
185.342, 470, 0.0455845
190.057, 482, 0.0455226
195.184, 495, 0.0455129
200.297, 508, 0.0454698
205.021, 520, 0.0454555
210.149, 533, 0.0454094
215.292, 546, 0.0453809
220.014, 558, 0.0454046
225.141, 571, 0.0453891
230.285, 584, 0.0453838
235.028, 596, 0.0452928
240.176, 609, 0.0452677
245.256, 622, 0.0452432
250.381, 635, 0.0452161
255.091, 647, 0.0452452
260.267, 660, 0.0452657
265.022, 672, 0.0452676
270.188, 685, 0.0452278
275.34, 698, 0.0452263
280.072, 710, 0.0452077
285.193, 723, 0.0451703
290.345, 736, 0.0451443
295.097, 748, 0.0450962
300.259, 761, 0.0451056
