Row Labels,Sum of SE
0.16000000983709-0.16100000983709,100.653931
0.16100000983709-0.16200000983709,102.069141
0.16200000983709-0.16300000983709,90.665983
0.16300000983709-0.16400000983709,97.78219
0.16400000983709-0.16500000983709,94.585695
0.16500000983709-0.16600000983709,95.487552
0.16600000983709-0.16700000983709,95.740372
0.16700000983709-0.16800000983709,88.945398
0.16800000983709-0.16900000983709,92.347883
0.16900000983709-0.17000000983709,95.943833
0.17000000983709-0.17100000983709,92.426262
0.17100000983709-0.17200000983709,94.498939
0.17200000983709-0.17300000983709,95.383241
0.17300000983709-0.17400000983709,98.370378
0.17400000983709-0.17500000983709,101.041843
0.17500000983709-0.17600000983709,100.046045
0.17600000983709-0.17700000983709,99.190734
0.17700000983709-0.17800000983709,98.330115
0.17800000983709-0.17900000983709,100.136529
0.17900000983709-0.18000000983709,89.568493
0.18000000983709-0.18100000983709,99.459223
0.18100000983709-0.18200000983709,89.472842
0.18200000983709-0.18300000983709,90.506034
0.18300000983709-0.18400000983709,87.162712
0.18400000983709-0.18500000983709,80.437043
0.18500000983709-0.18600000983709,90.71219
0.18600000983709-0.18700000983709,85.424947
0.18700000983709-0.18800000983709,82.694663
0.18800000983709-0.18900000983709,81.629751
0.18900000983709-0.19000000983709,85.466523
0.19000000983709-0.19100000983709,87.43235
0.19100000983709-0.19200000983709,84.842332
0.19200000983709-0.19300000983709,77.18979
0.19300000983709-0.19400000983709,77.588796
0.19400000983709-0.19500000983709,80.707302
0.19500000983709-0.19600000983709,83.085658
0.19600000983709-0.19700000983709,78.803174
0.19700000983709-0.19800000983709,77.022339
0.19800000983709-0.19900000983709,70.669109
0.19900000983709-0.20000000983709,84.59004
0.20000000983709-0.20100000983709,72.380129
0.20100000983709-0.20200000983709,67.502139
0.20200000983709-0.20300000983709,74.925502
0.20300000983709-0.20400000983709,75.912161
0.20400000983709-0.20500000983709,68.722372
0.20500000983709-0.20600000983709,70.081953
0.20600000983709-0.20700000983709,75.371912
0.20700000983709-0.20800000983709,74.916796
0.20800000983709-0.20900000983709,78.193521
0.20900000983709-0.21000000983709,71.0239
0.21000000983709-0.21100000983709,77.464347
0.21100000983709-0.21200000983709,73.597531
0.21200000983709-0.21300000983709,73.946666
0.21300000983709-0.21400000983709,70.889018
0.21400000983709-0.21500000983709,69.924396
0.21500000983709-0.21600000983709,73.698026
0.21600000983709-0.21700000983709,72.107037
0.21700000983709-0.21800000983709,65.906287
0.21800000983709-0.21900000983709,68.385056
0.21900000983709-0.22000000983709,66.515778
0.22000000983709-0.22100000983709,67.249817
0.22100000983709-0.22200000983709,65.557748
0.22200000983709-0.22300000983709,67.871422
0.22300000983709-0.22400000983709,69.288432
0.22400000983709-0.22500000983709,61.962364
0.22500000983709-0.22600000983709,69.676988
0.22600000983709-0.22700000983709,72.935682
0.22700000983709-0.22800000983709,58.695537
0.22800000983709-0.22900000983709,63.06659
0.22900000983709-0.23000000983709,69.310688
0.23000000983709-0.23100000983709,62.702434
0.23100000983709-0.23200000983709,64.816121
0.23200000983709-0.23300000983709,61.381618
0.23300000983709-0.23400000983709,64.217544
0.23400000983709-0.23500000983709,62.374719
0.23500000983709-0.23600000983709,70.400587
0.23600000983709-0.23700000983709,64.324092
0.23700000983709-0.23800000983709,68.410342
0.23800000983709-0.23900000983709,62.477972
0.23900000983709-0.24000000983709,59.636505
0.24000000983709-0.24100000983709,67.091546
0.24100000983709-0.24200000983709,66.410675
0.24200000983709-0.24300000983709,67.658684
0.24300000983709-0.24400000983709,64.043704
0.24400000983709-0.24500000983709,73.595371
0.24500000983709-0.24600000983709,66.530234
0.24600000983709-0.24700000983709,59.638563
0.24700000983709-0.24800000983709,60.142242
0.24800000983709-0.24900000983709,56.657275
0.24900000983709-0.25000000983709,65.622639
0.25000000983709-0.25100000983709,62.372097
0.25100000983709-0.25200000983709,60.606229
0.25200000983709-0.25300000983709,60.345693
0.25300000983709-0.25400000983709,59.818986
0.25400000983709-0.25500000983709,60.821248
0.25500000983709-0.25600000983709,61.827404
0.25600000983709-0.25700000983709,63.617387
0.25700000983709-0.25800000983709,53.818547
0.25800000983709-0.25900000983709,58.67931
0.25900000983709-0.26000000983709,57.60862
0.26000000983709-0.26100000983709,52.61686
0.26100000983709-0.26200000983709,52.822152
0.26200000983709-0.26300000983709,58.534602
0.26300000983709-0.26400000983709,47.166699
0.26400000983709-0.26500000983709,49.461408
0.26500000983709-0.26600000983709,45.923524
0.26600000983709-0.26700000983709,49.309281
0.26700000983709-0.26800000983709,50.292098
0.26800000983709-0.26900000983709,53.970788
0.26900000983709-0.27000000983709,48.240142
0.27000000983709-0.27100000983709,57.338689
0.27100000983709-0.27200000983709,44.523379
0.27200000983709-0.27300000983709,48.777773
0.27300000983709-0.27400000983709,50.324295
0.27400000983709-0.27500000983709,52.432087
0.27500000983709-0.27600000983709,52.625599
0.27600000983709-0.27700000983709,47.284026
0.27700000983709-0.27800000983709,49.11847
0.27800000983709-0.27900000983709,49.013856
0.27900000983709-0.28000000983709,48.351572
0.28000000983709-0.28100000983709,48.523315
0.28100000983709-0.28200000983709,48.132033
0.28200000983709-0.28300000983709,46.898195
0.28300000983709-0.28400000983709,44.7971
0.28400000983709-0.28500000983709,52.069724
0.28500000983709-0.28600000983709,53.965172
0.28600000983709-0.28700000983709,46.699472
0.28700000983709-0.28800000983709,48.294778
0.28800000983709-0.28900000983709,48.467481
0.28900000983709-0.29000000983709,49.794068
0.29000000983709-0.29100000983709,47.062039
0.29100000983709-0.29200000983709,48.10817
0.29200000983709-0.29300000983709,43.870925
0.29300000983709-0.29400000983709,49.603366
0.29400000983709-0.29500000983709,48.300863
0.29500000983709-0.29600000983709,45.20774
0.29600000983709-0.29700000983709,45.064651
0.29700000983709-0.29800000983709,47.893377
0.29800000983709-0.29900000983709,43.279661
0.29900000983709-0.30000000983709,44.629618
0.30000000983709-0.30100000983709,54.390138
0.30100000983709-0.30200000983709,46.130773
0.30200000983709-0.30300000983709,44.161236
0.30300000983709-0.30400000983709,47.647695
0.30400000983709-0.30500000983709,49.633562
0.30500000983709-0.30600000983709,50.709868
0.30600000983709-0.30700000983709,44.131319
0.30700000983709-0.30800000983709,47.658268
0.30800000983709-0.30900000983709,41.956536
0.30900000983709-0.31000000983709,48.895248
0.31000000983709-0.31100000983709,45.642111
0.31100000983709-0.31200000983709,40.813162
0.31200000983709-0.31300000983709,46.2482
0.31300000983709-0.31400000983709,43.891092
0.31400000983709-0.31500000983709,40.885714
0.31500000983709-0.31600000983709,42.59001
0.31600000983709-0.31700000983709,41.775726
0.31700000983709-0.31800000983709,40.958518
0.31800000983709-0.31900000983709,45.229479
0.31900000983709-0.32000000983709,47.608016
0.32000000983709-0.32100000983709,44.230418
0.32100000983709-0.32200000983709,44.364835
0.32200000983709-0.32300000983709,50.633985
0.32300000983709-0.32400000983709,39.79161
0.32400000983709-0.32500000983709,38.9352
0.32500000983709-0.32600000983709,37.437176
0.32600000983709-0.32700000983709,41.787601
0.32700000983709-0.32800000983709,44.537038
0.32800000983709-0.32900000983709,44.346161
0.32900000983709-0.33000000983709,43.490666
0.33000000983709-0.33100000983709,40.319285
0.33100000983709-0.33200000983709,40.115531
0.33200000983709-0.33300000983709,44.221508
0.33300000983709-0.33400000983709,40.692758
0.33400000983709-0.33500000983709,48.172654
0.33500000983709-0.33600000983709,44.960116
0.33600000983709-0.33700000983709,39.709496
0.33700000983709-0.33800000983709,43.874371
0.33800000983709-0.33900000983709,47.728929
0.33900000983709-0.34000000983709,42.781049
0.34000000983709-0.34100000983709,44.603802
0.34100000983709-0.34200000983709,37.570079
0.34200000983709-0.34300000983709,43.159543
0.34300000983709-0.34400000983709,36.756176
0.34400000983709-0.34500000983709,39.961943
0.34500000983709-0.34600000983709,43.187024
0.34600000983709-0.34700000983709,35.344008
0.34700000983709-0.34800000983709,44.82932
0.34800000983709-0.34900000983709,41.470736
0.34900000983709-0.35000000983709,44.030501
0.35000000983709-0.35100000983709,40.312293
0.35100000983709-0.35200000983709,45.698908
0.35200000983709-0.35300000983709,37.715881
0.35300000983709-0.35400000983709,36.763293
0.35400000983709-0.35500000983709,47.505192
0.35500000983709-0.35600000983709,41.945523
0.35600000983709-0.35700000983709,40.998086
0.35700000983709-0.35800000983709,46.473169
0.35800000983709-0.35900000983709,32.977423
0.35900000983709-0.36000000983709,44.577177
0.36000000983709-0.36100000983709,37.13227
0.36100000983709-0.36200000983709,39.043644
0.36200000983709-0.36300000983709,34.799569
0.36300000983709-0.36400000983709,39.622039
0.36400000983709-0.36500000983709,43.743511
0.36500000983709-0.36600000983709,36.182304
0.36600000983709-0.36700000983709,42.143887
0.36700000983709-0.36800000983709,35.647779
0.36800000983709-0.36900000983709,40.168089
0.36900000983709-0.37000000983709,39.903807
0.37000000983709-0.37100000983709,37.424444
0.37100000983709-0.37200000983709,39.378937
0.37200000983709-0.37300000983709,37.249413
0.37300000983709-0.37400000983709,38.466928
0.37400000983709-0.37500000983709,40.442448
0.37500000983709-0.37600000983709,38.302132
0.37600000983709-0.37700000983709,38.402321
0.37700000983709-0.37800000983709,41.899533
0.37800000983709-0.37900000983709,35.194646
0.37900000983709-0.38000000983709,29.597227
0.38000000983709-0.38100000983709,33.097685
0.38100000983709-0.38200000983709,32.045664
0.38200000983709-0.38300000983709,32.889275
0.38300000983709-0.38400000983709,40.267956
0.38400000983709-0.38500000983709,33.834234
0.38500000983709-0.38600000983709,32.383441
0.38600000983709-0.38700000983709,38.265212
0.38700000983709-0.38800000983709,35.264318
0.38800000983709-0.38900000983709,33.025831
0.38900000983709-0.39000000983709,39.730974
0.39000000983709-0.39100000983709,37.101863
0.39100000983709-0.39200000983709,35.236571
0.39200000983709-0.39300000983709,44.350178
0.39300000983709-0.39400000983709,35.415292
0.39400000983709-0.39500000983709,31.95904
0.39500000983709-0.39600000983709,34.407049
0.39600000983709-0.39700000983709,36.478218
0.39700000983709-0.39800000983709,34.189441
0.39800000983709-0.39900000983709,29.489236
0.39900000983709-0.40000000983709,34.756112
0.40000000983709-0.40100000983709,34.843716
0.40100000983709-0.40200000983709,35.727605
0.40200000983709-0.40300000983709,36.630114
0.40300000983709-0.40400000983709,34.699086
0.40400000983709-0.40500000983709,32.764508
0.40500000983709-0.40600000983709,42.57544
0.40600000983709-0.40700000983709,36.182423
0.40700000983709-0.40800000983709,36.271962
0.40800000983709-0.40900000983709,32.680054
0.40900000983709-0.41000000983709,34.807381
0.41000000983709-0.41100000983709,27.092357
0.41100000983709-0.41200000983709,34.565471
0.41200000983709-0.41300000983709,28.049539
0.41300000983709-0.41400000983709,26.049124
0.41400000983709-0.41500000983709,34.403769
0.41500000983709-0.41600000983709,34.904797
0.41600000983709-0.41700000983709,32.069303
0.41700000983709-0.41800000983709,35.07133
0.41800000983709-0.41900000983709,33.486546
0.41900000983709-0.42000000983709,32.296184
0.42000000983709-0.42100000983709,28.594217
0.42100000983709-0.42200000983709,29.929611
0.42200000983709-0.42300000983709,27.463266
0.42300000983709-0.42400000983709,35.577933
0.42400000983709-0.42500000983709,30.564525
0.42500000983709-0.42600000983709,28.507505
0.42600000983709-0.42700000983709,27.29752
0.42700000983709-0.42800000983709,30.782916
0.42800000983709-0.42900000983709,35.135675
0.42900000983709-0.43000000983709,31.354021
0.43000000983709-0.43100000983709,26.255295
0.43100000983709-0.43200000983709,26.321405
0.43200000983709-0.43300000983709,32.002759
0.43300000983709-0.43400000983709,28.178643
0.43400000983709-0.43500000983709,30.411436
0.43500000983709-0.43600000983709,28.307987
0.43600000983709-0.43700000983709,28.372581
0.43700000983709-0.43800000983709,34.126228
0.43800000983709-0.43900000983709,28.502972
0.43900000983709-0.44000000983709,29.448358
0.44000000983709-0.44100000983709,28.193129
0.44100000983709-0.44200000983709,31.345284
0.44200000983709-0.44300000983709,30.535263
0.44300000983709-0.44400000983709,36.369282
0.44400000983709-0.44500000983709,24.894381
0.44500000983709-0.44600000983709,21.380406
0.44600000983709-0.44700000983709,27.235795
0.44700000983709-0.44800000983709,24.615555
0.44800000983709-0.44900000983709,25.56531
0.44900000983709-0.45000000983709,28.76336
0.45000000983709-0.45100000983709,25.676996
0.45100000983709-0.45200000983709,37.475125
0.45200000983709-0.45300000983709,28.050068
0.45300000983709-0.45400000983709,23.127629
0.45400000983709-0.45500000983709,23.179435
0.45500000983709-0.45600000983709,36.438065
0.45600000983709-0.45700000983709,26.477159
0.45700000983709-0.45800000983709,31.570559
0.45800000983709-0.45900000983709,29.343822
0.45900000983709-0.46000000983709,29.868696
0.46000000983709-0.46100000983709,22.56665
0.46100000983709-0.46200000983709,27.689534
0.46200000983709-0.46300000983709,26.363062
0.46300000983709-0.46400000983709,25.027692
0.46400000983709-0.46500000983709,33.448122
0.46500000983709-0.46600000983709,25.601164
0.46600000983709-0.46700000983709,25.656893
0.46700000983709-0.46800000983709,27.580118
0.46800000983709-0.46900000983709,36.542453
0.46900000983709-0.47000000983709,25.820848
0.47000000983709-0.47100000983709,27.290682
0.47100000983709-0.47200000983709,22.635619
0.47200000983709-0.47300000983709,26.46031
0.47300000983709-0.47400000983709,26.991449
0.47400000983709-0.47500000983709,23.251595
0.47500000983709-0.47600000983709,28.528064
0.47600000983709-0.47700000983709,23.346489
0.47700000983709-0.47800000983709,26.261751
0.47800000983709-0.47900000983709,28.231616
0.47900000983709-0.48000000983709,26.853075
0.48000000983709-0.48100000983709,25.947656
0.48100000983709-0.48200000983709,24.555505
0.48200000983709-0.48300000983709,23.641586
0.48300000983709-0.48400000983709,24.658081
0.48400000983709-0.48500000983709,32.950104
0.48500000983709-0.48600000983709,22.818292
0.48600000983709-0.48700000983709,16.054792
0.48700000983709-0.48800000983709,24.375429
0.48800000983709-0.48900000983709,23.448559
0.48900000983709-0.49000000983709,23.989503
0.49000000983709-0.49100000983709,24.032499
0.49100000983709-0.49200000983709,19.168179
0.49200000983709-0.49300000983709,21.672251
0.49300000983709-0.49400000983709,21.713282
0.49400000983709-0.49500000983709,24.230679
0.49500000983709-0.49600000983709,23.785103
0.49600000983709-0.49700000983709,18.867248
0.49700000983709-0.49800000983709,24.874262
0.49800000983709-0.49900000983709,24.926239
0.49900000983709-0.50000000983709,26.971329
0.50000000983709-0.50100000983709,20.020838
0.50100000983709-0.50200000983709,23.06876
0.50200000983709-0.50300000983709,18.596212
0.50300000983709-0.50400000983709,18.127821
0.50400000983709-0.50500000983709,24.215339
0.50500000983709-0.50600000983709,21.736099
0.50600000983709-0.50700000983709,18.234364
0.50700000983709-0.50800000983709,22.838917
0.50800000983709-0.50900000983709,19.830811
0.50900000983709-0.51000000983709,22.421758
0.51000000983709-0.51100000983709,18.892419
0.51100000983709-0.51200000983709,22.509578
0.51200000983709-0.51300000983709,12.813919
0.51300000983709-0.51400000983709,16.945391
0.51400000983709-0.51500000983709,17.493941
0.51500000983709-0.51600000983709,17.00988
0.51600000983709-0.51700000983709,19.625045
0.51700000983709-0.51800000983709,20.698934
0.51800000983709-0.51900000983709,23.853485
0.51900000983709-0.52000000983709,12.467578
0.52000000983709-0.52100000983709,19.778375
0.52100000983709-0.52200000983709,18.775322
0.52200000983709-0.52300000983709,16.718846
0.52300000983709-0.52400000983709,16.751429
0.52400000983709-0.52500000983709,18.883295
0.52500000983709-0.52600000983709,21.545374
0.52600000983709-0.52700000983709,17.901565
0.52700000983709-0.52800000983709,18.462207
0.52800000983709-0.52900000983709,19.030503
0.52900000983709-0.53000000983709,11.644998
0.53000000983709-0.53100000983709,22.281682
0.53100000983709-0.53200000983709,18.071008
0.53200000983709-0.53300000983709,20.234118
0.53300000983709-0.53400000983709,17.071304
0.53400000983709-0.53500000983709,15.50131
0.53500000983709-0.53600000983709,16.602023
0.53600000983709-0.53700000983709,11.269918
0.53700000983709-0.53800000983709,10.751148
0.53800000983709-0.53900000983709,9.693398
0.53900000983709-0.54000000983709,15.108811
0.54000000983709-0.54100000983709,12.97112
0.54100000983709-0.54200000983709,10.828643
0.54200000983709-0.54300000983709,16.816111
0.54300000983709-0.54400000983709,16.307208
0.54400000983709-0.54500000983709,15.247069
0.54500000983709-0.54600000983709,12.001417
0.54600000983709-0.54700000983709,11.476332
0.54700000983709-0.54800000983709,15.328584
0.54800000983709-0.54900000983709,13.71202
0.54900000983709-0.55000000983709,8.241458
0.55000000983709-0.55100000983709,11.560632
0.55100000983709-0.55200000983709,14.337634
0.55200000983709-0.55300000983709,16.576538
0.55300000983709-0.55400000983709,16.609495
0.55400000983709-0.55500000983709,11.645836
0.55500000983709-0.55600000983709,8.332003
0.55600000983709-0.55700000983709,17.252971
0.55700000983709-0.55800000983709,13.379074
0.55800000983709-0.55900000983709,12.848828
0.55900000983709-0.56000000983709,8.952614
0.56000000983709-0.56100000983709,10.089214
0.56100000983709-0.56200000983709,6.177358
0.56200000983709-0.56300000983709,13.499756
0.56300000983709-0.56400000983709,9.58108
0.56400000983709-0.56500000983709,13.547465
0.56500000983709-0.56600000983709,6.787471
0.56600000983709-0.56700000983709,11.894358
0.56700000983709-0.56800000983709,15.322682
0.56800000983709-0.56900000983709,7.959175
0.56900000983709-0.57000000983709,9.110525
0.57000000983709-0.57100000983709,16.544163
0.57100000983709-0.57200000983709,11.428193
0.57200000983709-0.57300000983709,8.587642
0.57300000983709-0.57400000983709,7.456491
0.57400000983709-0.57500000983709,12.637686
0.57500000983709-0.57600000983709,13.809081
0.57600000983709-0.57700000983709,9.222332
0.57700000983709-0.57800000983709,17.899987
0.57800000983709-0.57900000983709,9.256724
0.57900000983709-0.58000000983709,9.269935
0.58000000983709-0.58100000983709,11.610083
0.58100000983709-0.58200000983709,12.793521
0.58200000983709-0.58300000983709,12.816112
0.58300000983709-0.58400000983709,12.2533
0.58400000983709-0.58500000983709,9.35056
0.58500000983709-0.58600000983709,14.636942
0.58600000983709-0.58700000983709,19.944239
0.58700000983709-0.58800000983709,9.987254
0.58800000983709-0.58900000983709,9.416678
0.58900000983709-0.59000000983709,12.379273
0.59000000983709-0.59100000983709,8.859763
0.59100000983709-0.59200000983709,15.378155
0.59200000983709-0.59300000983709,10.665902
0.59300000983709-0.59400000983709,10.682588
0.59400000983709-0.59500000983709,10.701772
0.59500000983709-0.59600000983709,4.763786
0.59600000983709-0.59700000983709,8.352317
0.59700000983709-0.59800000983709,11.353583
0.59800000983709-0.59900000983709,13.766505
0.59900000983709-0.60000000983709,9.590821
0.60000000983709-0.60100000983709,12.612588
0.60100000983709-0.60200000983709,13.231117
0.60200000983709-0.60300000983709,12.048596
0.60300000983709-0.60400000983709,13.877448
0.60400000983709-0.60500000983709,15.110278
0.60500000983709-0.60600000983709,7.8709
0.60600000983709-0.60700000983709,12.735903
0.60700000983709-0.60800000983709,12.150679
0.60800000983709-0.60900000983709,9.736985
0.60900000983709-0.61000000983709,12.191159
0.61000000983709-0.61100000983709,11.599992
0.61100000983709-0.61200000983709,11.619682
0.61200000983709-0.61300000983709,9.798594
0.61300000983709-0.61400000983709,12.882021
0.61400000983709-0.61500000983709,11.060909
0.61500000983709-0.61600000983709,8.001463
0.61600000983709-0.61700000983709,11.714376
0.61700000983709-0.61800000983709,9.881382
0.61800000983709-0.61900000983709,16.701534
0.61900000983709-0.62000000983709,11.770981
0.62000000983709-0.62100000983709,11.168479
0.62100000983709-0.62200000983709,4.97222
0.62200000983709-0.62300000983709,9.959844
0.62300000983709-0.62400000983709,9.354246
0.62400000983709-0.62500000983709,10.616876
0.62500000983709-0.62600000983709,12.509271
0.62600000983709-0.62700000983709,13.15596
0.62700000983709-0.62800000983709,11.295257
0.62800000983709-0.62900000983709,9.427536
0.62900000983709-0.63000000983709,6.924042
0.63000000983709-0.63100000983709,11.346437
0.63100000983709-0.63200000983709,6.946763
0.63200000983709-0.63300000983709,7.589485
0.63300000983709-0.63400000983709,13.936092
0.63400000983709-0.63500000983709,10.786127
0.63500000983709-0.63600000983709,8.896987
0.63600000983709-0.63700000983709,10.820959
0.63700000983709-0.63800000983709,12.74929
0.63800000983709-0.63900000983709,7.023176
0.63900000983709-0.64000000983709,7.034325
0.64000000983709-0.64100000983709,12.170925
0.64100000983709-0.64200000983709,8.338244
0.64200000983709-0.64300000983709,10.920401
0.64300000983709-0.64400000983709,10.938069
0.64400000983709-0.64500000983709,13.537463
0.64500000983709-0.64600000983709,7.100182
0.64600000983709-0.64700000983709,11.636809
0.64700000983709-0.64800000983709,15.540383
0.64800000983709-0.64900000983709,11.674081
0.64900000983709-0.65000000983709,9.091853
0.65000000983709-0.65100000983709,9.105048
0.65100000983709-0.65200000983709,14.332765
0.65200000983709-0.65300000983709,16.314134
0.65300000983709-0.65400000983709,13.723776
0.65400000983709-0.65500000983709,11.126317
0.65500000983709-0.65600000983709,11.796916
0.65600000983709-0.65700000983709,7.877239
0.65700000983709-0.65800000983709,9.203944
0.65800000983709-0.65900000983709,9.87536
0.65900000983709-0.66000000983709,7.252226
