wl	n
0.625	0.15437
0.626	0.15362
0.627	0.15288
0.628	0.15215
0.629	0.15144
0.630	0.15074
0.631	0.15006
0.632	0.14938
0.633	0.14873
0.634	0.14808
0.635	0.14745
0.636	0.14682
0.637	0.14621
0.638	0.14562
0.639	0.14503
0.640	0.14445
0.641	0.14389
0.642	0.14333
0.643	0.14279
0.644	0.14225
0.645	0.14173
0.646	0.14122
0.647	0.14071
0.648	0.14022
0.649	0.13973
0.650	0.13925
0.651	0.13879
0.652	0.13833
0.653	0.13788
0.654	0.13743
0.655	0.13700
0.656	0.13657
0.657	0.13616
0.658	0.13575
0.659	0.13534
0.660	0.13495
0.661	0.13456
0.662	0.13418
0.663	0.13381
0.664	0.13344
0.665	0.13308
0.666	0.13273
0.667	0.13239
0.668	0.13205
0.669	0.13172
0.670	0.13139
0.671	0.13107
0.672	0.13076
0.673	0.13045
0.674	0.13015
0.675	0.12985
0.676	0.12956
0.677	0.12927
0.678	0.12900
0.679	0.12872
0.680	0.12845
0.681	0.12819
0.682	0.12793
0.683	0.12768
0.684	0.12743
0.685	0.12719
0.686	0.12695
0.687	0.12672
0.688	0.12649
0.689	0.12627
0.690	0.12605
0.691	0.12583
0.692	0.12562
0.693	0.12542
0.694	0.12522
0.695	0.12502
0.696	0.12483
0.697	0.12464
0.698	0.12445
0.699	0.12427
0.700	0.12409
0.701	0.12392
0.702	0.12375
0.703	0.12359
0.704	0.12343
0.705	0.12327
0.706	0.12311
0.707	0.12296
0.708	0.12282
0.709	0.12267
0.710	0.12253
0.711	0.12240
0.712	0.12227
0.713	0.12214
0.714	0.12201
0.715	0.12189
0.716	0.12177
0.717	0.12165
0.718	0.12153
0.719	0.12142
0.720	0.12132
0.721	0.12121
0.722	0.12111
0.723	0.12101
0.724	0.12091
0.725	0.12082
0.726	0.12073
0.727	0.12064
0.728	0.12056
0.729	0.12048
0.730	0.12040
0.731	0.12032
0.732	0.12025
0.733	0.12017
0.734	0.12011
0.735	0.12004
0.736	0.11998
0.737	0.11991
0.738	0.11985
0.739	0.11980
0.740	0.11974
0.741	0.11969
0.742	0.11964
0.743	0.11959
0.744	0.11955
0.745	0.11951
0.746	0.11947
0.747	0.11943
0.748	0.11939
0.749	0.11936
0.750	0.11932
0.751	0.11929
0.752	0.11927
0.753	0.11924
0.754	0.11922
0.755	0.11920
0.756	0.11918
0.757	0.11916
0.758	0.11914
0.759	0.11913
0.760	0.11912
0.761	0.11911
0.762	0.11910
0.763	0.11909
0.764	0.11909
0.765	0.11908
0.766	0.11908
0.767	0.11908
0.768	0.11909
0.769	0.11909
0.770	0.11910
0.771	0.11910
0.772	0.11911
0.773	0.11912
0.774	0.11914
0.775	0.11915
0.776	0.11917
0.777	0.11919
0.778	0.11921
0.779	0.11923
0.780	0.11925
0.781	0.11927
0.782	0.11930
0.783	0.11932
0.784	0.11935
0.785	0.11938
0.786	0.11941
0.787	0.11945
0.788	0.11948
0.789	0.11952
0.790	0.11956
0.791	0.11959
0.792	0.11963
0.793	0.11968
0.794	0.11972
0.795	0.11976
0.796	0.11981
0.797	0.11986
0.798	0.11990
0.799	0.11995
0.800	0.12000
0.801	0.12006
0.802	0.12011
0.803	0.12017
0.804	0.12022
0.805	0.12028
0.806	0.12034
0.807	0.12040
0.808	0.12046
0.809	0.12052
0.810	0.12058
0.811	0.12065
0.812	0.12071
0.813	0.12078
0.814	0.12085
0.815	0.12092
0.816	0.12099
0.817	0.12106
0.818	0.12113
0.819	0.12121
0.820	0.12128
0.821	0.12136
0.822	0.12144
0.823	0.12151
0.824	0.12159
0.825	0.12167
0.826	0.12176
0.827	0.12184
0.828	0.12192
0.829	0.12201
0.830	0.12209
0.831	0.12218
0.832	0.12227
0.833	0.12236
0.834	0.12245
0.835	0.12254
0.836	0.12263
0.837	0.12272
0.838	0.12282
0.839	0.12291
0.840	0.12301
0.841	0.12310
0.842	0.12320
0.843	0.12330
0.844	0.12340
0.845	0.12350
0.846	0.12360
0.847	0.12370
0.848	0.12381
0.849	0.12391
0.850	0.12402
0.851	0.12412
0.852	0.12423
0.853	0.12434
0.854	0.12444
0.855	0.12455
0.856	0.12466
0.857	0.12478
0.858	0.12489
0.859	0.12500
0.860	0.12511
0.861	0.12523
0.862	0.12534
0.863	0.12546
0.864	0.12558
0.865	0.12570
0.866	0.12581
0.867	0.12593
0.868	0.12605
0.869	0.12618
0.870	0.12630
0.871	0.12642
0.872	0.12654
0.873	0.12667
0.874	0.12679
0.875	0.12692
0.876	0.12705
0.877	0.12717
0.878	0.12730
0.879	0.12743
0.880	0.12756
0.881	0.12769
0.882	0.12782
0.883	0.12795
0.884	0.12809
0.885	0.12822
0.886	0.12835
0.887	0.12849
0.888	0.12862
0.889	0.12876
0.890	0.12890
0.891	0.12904
0.892	0.12917
0.893	0.12931
0.894	0.12945
0.895	0.12959
0.896	0.12973
0.897	0.12988
0.898	0.13002
0.899	0.13016
0.900	0.13031
0.901	0.13045
0.902	0.13060
0.903	0.13074
0.904	0.13089
0.905	0.13104
0.906	0.13118
0.907	0.13133
0.908	0.13148
0.909	0.13163
0.910	0.13178
0.911	0.13193
0.912	0.13208
0.913	0.13224
0.914	0.13239
0.915	0.13254
0.916	0.13270
0.917	0.13285
0.918	0.13301
0.919	0.13316
0.920	0.13332
0.921	0.13348
0.922	0.13364
0.923	0.13380
0.924	0.13395
0.925	0.13411
0.926	0.13427
0.927	0.13444
0.928	0.13460
0.929	0.13476
0.930	0.13492
0.931	0.13509
0.932	0.13525
0.933	0.13541
0.934	0.13558
0.935	0.13574
0.936	0.13591
0.937	0.13608
0.938	0.13625
0.939	0.13641
0.940	0.13658
0.941	0.13675
0.942	0.13692
0.943	0.13709
0.944	0.13726
0.945	0.13743
0.946	0.13760
0.947	0.13778
0.948	0.13795
0.949	0.13812
0.950	0.13830
0.951	0.13847
0.952	0.13865
0.953	0.13882
0.954	0.13900
0.955	0.13918
0.956	0.13935
0.957	0.13953
0.958	0.13971
0.959	0.13989
0.960	0.14007
0.961	0.14025
0.962	0.14043
0.963	0.14061
0.964	0.14079
0.965	0.14097
0.966	0.14115
0.967	0.14134
0.968	0.14152
0.969	0.14171
0.970	0.14189
0.971	0.14207
0.972	0.14226
0.973	0.14245
0.974	0.14263
0.975	0.14282
0.976	0.14301
0.977	0.14319
0.978	0.14338
0.979	0.14357
0.980	0.14376
0.981	0.14395
0.982	0.14414
0.983	0.14433
0.984	0.14452
0.985	0.14472
0.986	0.14491
0.987	0.14510
0.988	0.14529
0.989	0.14549
0.990	0.14568
0.991	0.14588
0.992	0.14607
0.993	0.14627
0.994	0.14646
0.995	0.14666
0.996	0.14686
0.997	0.14705
0.998	0.14725
0.999	0.14745
1.000	0.14765
1.001	0.14785
1.002	0.14805
1.003	0.14825
1.004	0.14845
1.005	0.14865
1.006	0.14885
1.007	0.14905
1.008	0.14926
1.009	0.14946
1.010	0.14966
1.011	0.14987
1.012	0.15007
1.013	0.15028
1.014	0.15048
1.015	0.15069
1.016	0.15089
1.017	0.15110
1.018	0.15131
1.019	0.15151
1.020	0.15172
1.021	0.15193
1.022	0.15214
1.023	0.15235
1.024	0.15256
1.025	0.15277
1.026	0.15298
1.027	0.15319
1.028	0.15340
1.029	0.15361
1.030	0.15382
1.031	0.15403
1.032	0.15425
1.033	0.15446
1.034	0.15467
1.035	0.15489
1.036	0.15510
1.037	0.15532
1.038	0.15553
1.039	0.15575
1.040	0.15596
1.041	0.15618
1.042	0.15640
1.043	0.15662
1.044	0.15683
1.045	0.15705
1.046	0.15727
1.047	0.15749
1.048	0.15771
1.049	0.15793
1.050	0.15815
1.051	0.15837
1.052	0.15859
1.053	0.15881
1.054	0.15903
1.055	0.15926
1.056	0.15948
1.057	0.15970
1.058	0.15992
1.059	0.16015
1.060	0.16037
1.061	0.16060
1.062	0.16082
1.063	0.16105
1.064	0.16127
1.065	0.16150
1.066	0.16173
1.067	0.16195
1.068	0.16218
1.069	0.16241
1.070	0.16264
1.071	0.16286
1.072	0.16309
1.073	0.16332
1.074	0.16355
1.075	0.16378
1.076	0.16401
1.077	0.16424
1.078	0.16447
1.079	0.16470
1.080	0.16494
1.081	0.16517
1.082	0.16540
1.083	0.16563
1.084	0.16587
1.085	0.16610
1.086	0.16634
1.087	0.16657
1.088	0.16680
1.089	0.16704
1.090	0.16728
1.091	0.16751
1.092	0.16775
1.093	0.16798
1.094	0.16822
1.095	0.16846
1.096	0.16870
1.097	0.16893
1.098	0.16917
1.099	0.16941
1.100	0.16965
1.101	0.16989
1.102	0.17013
1.103	0.17037
1.104	0.17061
1.105	0.17085
1.106	0.17109
1.107	0.17134
1.108	0.17158
1.109	0.17182
1.110	0.17206
1.111	0.17231
1.112	0.17255
1.113	0.17279
1.114	0.17304
1.115	0.17328
1.116	0.17353
1.117	0.17377
1.118	0.17402
1.119	0.17426
1.120	0.17451
1.121	0.17476
1.122	0.17500
1.123	0.17525
1.124	0.17550
1.125	0.17575
1.126	0.17600
1.127	0.17625
1.128	0.17649
1.129	0.17674
1.130	0.17699
1.131	0.17724
1.132	0.17749
1.133	0.17775
1.134	0.17800
1.135	0.17825
1.136	0.17850
1.137	0.17875
1.138	0.17901
1.139	0.17926
1.140	0.17951
1.141	0.17976
1.142	0.18002
1.143	0.18027
1.144	0.18053
1.145	0.18078
1.146	0.18104
1.147	0.18129
1.148	0.18155
1.149	0.18181
1.150	0.18206
1.151	0.18232
1.152	0.18258
1.153	0.18283
1.154	0.18309
1.155	0.18335
1.156	0.18361
1.157	0.18387
1.158	0.18413
1.159	0.18439
1.160	0.18465
1.161	0.18491
1.162	0.18517
1.163	0.18543
1.164	0.18569
1.165	0.18595
1.166	0.18621
1.167	0.18648
1.168	0.18674
1.169	0.18700
1.170	0.18727
1.171	0.18753
1.172	0.18779
1.173	0.18806
1.174	0.18832
1.175	0.18859
1.176	0.18885
1.177	0.18912
1.178	0.18938
1.179	0.18965
1.180	0.18992
1.181	0.19018
1.182	0.19045
1.183	0.19072
1.184	0.19099
1.185	0.19125
1.186	0.19152
1.187	0.19179
1.188	0.19206
1.189	0.19233
1.190	0.19260
1.191	0.19287
1.192	0.19314
1.193	0.19341
1.194	0.19368
1.195	0.19395
1.196	0.19422
1.197	0.19450
1.198	0.19477
1.199	0.19504
1.200	0.19531
